,exercise,exercise,exercise,exercise,exercise,recovery,recovery,recovery,recovery,recovery,sleep,sleep,sleep,sleep,sleep
,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign
 ,,,,,,,,,,,,,,,
Competitive aspect,,,,,,,,,,,,,,,
Competition,1.47,1.23,1.76,<0.001,***,1.14,0.93,1.4,0.206,,1.02,0.84,1.23,0.847,
 ,,,,,,,,,,,,,,,
Core exercise metrics,,,,,,,,,,,,,,,
Duration,1.41,1.24,1.61,<0.001,***,0.8,0.7,0.91,<0.001,***,0.92,0.78,1.09,0.322,
Intensity factor,1.59,1.36,1.86,<0.001,***,0.96,0.8,1.14,0.612,,0.96,0.79,1.15,0.625,
Variability index,1.58,1.34,1.87,<0.001,***,1.16,1.0,1.34,0.047,*,0.92,0.76,1.11,0.39,
 ,,,,,,,,,,,,,,,
Power,,,,,,,,,,,,,,,
Time in power zone 1 (Active Recovery),1.26,1.12,1.43,<0.001,***,0.9,0.78,1.05,0.173,,0.9,0.77,1.05,0.171,
Time in power zone 2 (Endurance),1.16,0.97,1.38,0.104,,0.8,0.72,0.9,<0.001,***,0.89,0.8,0.99,0.031,*
Time in power zone 3 (Tempo),1.43,1.2,1.7,<0.001,***,0.81,0.71,0.92,<0.001,***,0.94,0.81,1.1,0.476,
Time in power zone 4 (Lactate Threshold),1.38,1.17,1.63,<0.001,***,0.89,0.75,1.07,0.21,,1.02,0.86,1.21,0.835,
Time in power zone 5 (VO2max),1.46,1.23,1.73,<0.001,***,1.0,0.81,1.22,0.981,,1.04,0.86,1.24,0.705,
Time in power zone 6 (Anaerobic Capacity),1.61,1.3,1.99,<0.001,***,1.11,0.9,1.37,0.315,,1.05,0.88,1.26,0.588,
 ,,,,,,,,,,,,,,,
Heart rate,,,,,,,,,,,,,,,
Time in HR zone 1 (Active Recovery),1.07,0.94,1.22,0.323,,0.89,0.77,1.02,0.092,,0.99,0.88,1.11,0.8,
Time in HR zone 2 (Endurance),1.26,1.06,1.49,0.008,**,0.77,0.68,0.87,<0.001,***,0.96,0.83,1.11,0.577,
Time in HR zone 3 (Tempo),1.38,1.19,1.6,<0.001,***,0.86,0.75,0.98,0.022,*,0.95,0.83,1.08,0.408,
Time in HR zone 4 (Lactate Threshold),1.48,1.2,1.82,<0.001,***,0.96,0.81,1.13,0.625,,1.07,0.9,1.27,0.434,
