,exercise,exercise,exercise,exercise,exercise,recovery,recovery,recovery,recovery,recovery,sleep,sleep,sleep,sleep,sleep
,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign
 ,,,,,,,,,,,,,,,
Competitive aspect,,,,,,,,,,,,,,,
Competition,0.59,0.45,0.77,<0.001,***,0.92,0.74,1.16,0.494,,0.91,0.72,1.14,0.408,
 ,,,,,,,,,,,,,,,
Core exercise metrics,,,,,,,,,,,,,,,
Duration,1.16,0.96,1.39,0.115,,1.06,0.93,1.21,0.394,,1.22,1.02,1.47,0.033,*
Intensity factor,0.95,0.8,1.13,0.549,,1.11,0.95,1.31,0.182,,1.18,1.01,1.39,0.038,*
Variability index,0.78,0.61,0.98,0.033,*,1.01,0.81,1.27,0.923,,0.98,0.82,1.16,0.78,
 ,,,,,,,,,,,,,,,
Power,,,,,,,,,,,,,,,
Time in power zone 1 (Active Recovery),0.91,0.73,1.13,0.395,,0.94,0.8,1.11,0.464,,1.07,0.88,1.3,0.508,
Time in power zone 2 (Endurance),1.16,0.88,1.52,0.295,,1.05,0.89,1.22,0.585,,1.16,1.02,1.32,0.025,*
Time in power zone 3 (Tempo),1.03,0.79,1.35,0.82,,1.1,0.93,1.29,0.253,,1.19,1.0,1.42,0.048,*
Time in power zone 4 (Lactate Threshold),0.93,0.74,1.16,0.507,,1.02,0.86,1.2,0.86,,1.13,0.95,1.35,0.162,
Time in power zone 5 (VO2max),0.83,0.67,1.02,0.078,,0.96,0.83,1.11,0.557,,1.04,0.82,1.31,0.748,
Time in power zone 6 (Anaerobic Capacity),0.73,0.58,0.93,0.009,**,0.96,0.78,1.18,0.685,,1.0,0.78,1.29,0.989,
 ,,,,,,,,,,,,,,,
Heart rate,,,,,,,,,,,,,,,
Time in HR zone 1 (Active Recovery),0.96,0.8,1.16,0.689,,1.08,0.91,1.28,0.387,,1.02,0.85,1.22,0.839,
Time in HR zone 2 (Endurance),1.24,0.95,1.62,0.111,,1.03,0.83,1.28,0.789,,1.14,1.0,1.29,0.047,*
Time in HR zone 3 (Tempo),0.91,0.75,1.12,0.381,,1.01,0.85,1.21,0.892,,1.18,1.04,1.34,0.011,*
Time in HR zone 4 (Lactate Threshold),0.86,0.68,1.1,0.232,,0.91,0.71,1.16,0.44,,1.05,0.88,1.24,0.614,
