,exercise,exercise,exercise,exercise,exercise,recovery,recovery,recovery,recovery,recovery,sleep,sleep,sleep,sleep,sleep
,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign
 ,,,,,,,,,,,,,,,
Core exercise metrics,,,,,,,,,,,,,,,
Duration,0.59,0.59,0.59,<0.001,***,0.83,0.6,1.14,0.257,,1.08,0.75,1.55,0.698,
Intensity factor,1.1,0.67,1.83,0.703,,1.14,0.77,1.7,0.509,,0.83,0.57,1.2,0.315,
Variability index,1.71,1.03,2.83,0.038,*,1.62,1.08,2.41,0.019,*,0.79,0.57,1.11,0.183,
 ,,,,,,,,,,,,,,,
Power,,,,,,,,,,,,,,,
Time in power zone 1 (Active Recovery),0.69,0.41,1.14,0.146,,1.04,0.74,1.46,0.833,,0.97,0.68,1.39,0.881,
Time in power zone 2 (Endurance),0.65,0.43,0.99,0.043,*,0.8,0.57,1.12,0.195,,1.12,0.77,1.62,0.545,
Time in power zone 3 (Tempo),0.71,0.48,1.05,0.086,,0.76,0.55,1.05,0.092,,1.06,0.72,1.57,0.751,
Time in power zone 4 (Lactate Threshold),0.69,0.44,1.08,0.103,,0.71,0.5,1.02,0.064,,1.03,0.7,1.51,0.873,
Time in power zone 5 (VO2max),0.75,0.47,1.2,0.228,,0.8,0.56,1.15,0.234,,0.94,0.67,1.32,0.73,
Time in power zone 6 (Anaerobic Capacity),0.78,0.48,1.27,0.32,,1.0,0.71,1.43,0.979,,0.86,0.6,1.21,0.381,
 ,,,,,,,,,,,,,,,
Heart rate,,,,,,,,,,,,,,,
Time in HR zone 1 (Active Recovery),0.92,0.53,1.59,0.767,,1.19,0.83,1.7,0.343,,1.07,0.76,1.52,0.695,
Time in HR zone 2 (Endurance),0.61,0.36,1.03,0.063,,0.94,0.66,1.33,0.718,,0.92,0.63,1.34,0.665,
Time in HR zone 3 (Tempo),0.65,0.41,1.02,0.06,,0.78,0.54,1.12,0.183,,1.07,0.76,1.51,0.712,
Time in HR zone 4 (Lactate Threshold),0.94,0.61,1.44,0.764,,0.97,0.68,1.37,0.846,,1.14,0.82,1.59,0.439,
