,exercise,exercise,exercise,exercise,exercise,recovery,recovery,recovery,recovery,recovery,sleep,sleep,sleep,sleep,sleep
,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign
 ,,,,,,,,,,,,,,,
Competitive aspect,,,,,,,,,,,,,,,
Competition,1.46,1.22,1.75,<0.001,***,1.11,0.91,1.36,0.31,,1.01,0.84,1.22,0.891,
 ,,,,,,,,,,,,,,,
Core exercise metrics,,,,,,,,,,,,,,,
Duration,1.42,1.25,1.62,<0.001,***,0.81,0.71,0.93,0.002,**,0.92,0.78,1.08,0.292,
Intensity factor,1.6,1.38,1.85,<0.001,***,0.96,0.81,1.12,0.576,,0.93,0.78,1.11,0.445,
Variability index,1.58,1.35,1.86,<0.001,***,1.16,1.01,1.34,0.034,*,0.91,0.75,1.09,0.307,
 ,,,,,,,,,,,,,,,
Power,,,,,,,,,,,,,,,
Time in power zone 1 (Active Recovery),1.24,1.1,1.39,<0.001,***,0.92,0.79,1.06,0.254,,0.91,0.78,1.05,0.188,
Time in power zone 2 (Endurance),1.18,0.98,1.42,0.078,,0.81,0.72,0.91,<0.001,***,0.89,0.8,0.98,0.023,*
Time in power zone 3 (Tempo),1.45,1.21,1.72,<0.001,***,0.81,0.71,0.92,0.001,**,0.93,0.8,1.08,0.358,
Time in power zone 4 (Lactate Threshold),1.39,1.18,1.64,<0.001,***,0.89,0.75,1.06,0.208,,1.0,0.85,1.18,0.995,
Time in power zone 5 (VO2max),1.48,1.24,1.76,<0.001,***,0.99,0.81,1.2,0.9,,1.02,0.85,1.21,0.836,
Time in power zone 6 (Anaerobic Capacity),1.64,1.31,2.05,<0.001,***,1.09,0.89,1.33,0.405,,1.04,0.88,1.24,0.64,
 ,,,,,,,,,,,,,,,
Heart rate,,,,,,,,,,,,,,,
Time in HR zone 1 (Active Recovery),1.07,0.94,1.22,0.321,,0.88,0.76,1.01,0.076,,0.98,0.87,1.1,0.753,
Time in HR zone 2 (Endurance),1.26,1.06,1.49,0.007,**,0.77,0.67,0.87,<0.001,***,0.95,0.82,1.09,0.437,
Time in HR zone 3 (Tempo),1.37,1.18,1.58,<0.001,***,0.86,0.76,0.99,0.03,*,0.94,0.82,1.07,0.319,
Time in HR zone 4 (Lactate Threshold),1.42,1.16,1.74,<0.001,***,0.96,0.82,1.13,0.647,,1.06,0.9,1.25,0.474,
