,exercise,exercise,exercise,exercise,exercise,recovery,recovery,recovery,recovery,recovery,sleep,sleep,sleep,sleep,sleep
,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign
 ,,,,,,,,,,,,,,,
Competitive aspect,,,,,,,,,,,,,,,
Competition,1.58,1.33,1.87,<0.001,***,1.25,1.04,1.5,0.016,*,1.04,0.87,1.25,0.641,
 ,,,,,,,,,,,,,,,
Core exercise metrics,,,,,,,,,,,,,,,
Duration,1.36,1.21,1.54,<0.001,***,0.8,0.7,0.91,<0.001,***,0.91,0.78,1.07,0.257,
Intensity factor,1.6,1.38,1.86,<0.001,***,0.99,0.84,1.16,0.875,,0.94,0.79,1.12,0.506,
Variability index,1.66,1.43,1.93,<0.001,***,1.27,1.11,1.45,<0.001,***,0.94,0.78,1.13,0.509,
 ,,,,,,,,,,,,,,,
Power,,,,,,,,,,,,,,,
Time in power zone 1 (Active Recovery),1.28,1.14,1.43,<0.001,***,0.96,0.83,1.1,0.534,,0.92,0.79,1.06,0.248,
Time in power zone 2 (Endurance),1.11,0.91,1.36,0.294,,0.77,0.69,0.86,<0.001,***,0.88,0.79,0.97,0.011,*
Time in power zone 3 (Tempo),1.38,1.13,1.68,0.002,**,0.77,0.68,0.87,<0.001,***,0.92,0.79,1.07,0.272,
Time in power zone 4 (Lactate Threshold),1.4,1.17,1.68,<0.001,***,0.9,0.74,1.08,0.264,,1.0,0.84,1.18,0.963,
Time in power zone 5 (VO2max),1.56,1.3,1.88,<0.001,***,1.05,0.86,1.29,0.632,,1.03,0.86,1.23,0.749,
Time in power zone 6 (Anaerobic Capacity),1.77,1.41,2.22,<0.001,***,1.2,0.98,1.48,0.079,,1.07,0.9,1.27,0.472,
 ,,,,,,,,,,,,,,,
Heart rate,,,,,,,,,,,,,,,
Time in HR zone 1 (Active Recovery),1.08,0.95,1.23,0.217,,0.92,0.8,1.05,0.226,,0.99,0.88,1.11,0.852,
Time in HR zone 2 (Endurance),1.12,0.96,1.29,0.144,,0.71,0.63,0.8,<0.001,***,0.92,0.81,1.05,0.23,
Time in HR zone 3 (Tempo),1.31,1.13,1.51,<0.001,***,0.83,0.73,0.95,0.007,**,0.93,0.82,1.05,0.245,
Time in HR zone 4 (Lactate Threshold),1.45,1.16,1.81,<0.001,***,0.99,0.84,1.17,0.925,,1.07,0.9,1.26,0.45,
