,exercise,exercise,exercise,exercise,exercise,recovery,recovery,recovery,recovery,recovery,sleep,sleep,sleep,sleep,sleep
,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign,Estimate,CI_lower,CI_upper,Pr(>|z|),Sign
 ,,,,,,,,,,,,,,,
Competitive aspect,,,,,,,,,,,,,,,
Competition,1.46,1.22,1.75,<0.001,***,1.11,0.91,1.36,0.307,,1.01,0.84,1.22,0.889,
 ,,,,,,,,,,,,,,,
Core exercise metrics,,,,,,,,,,,,,,,
Duration,1.42,1.25,1.62,<0.001,***,0.81,0.71,0.93,0.002,**,0.92,0.78,1.08,0.293,
Intensity factor,1.6,1.38,1.85,<0.001,***,0.95,0.81,1.12,0.565,,0.93,0.78,1.11,0.452,
Variability index,1.57,1.34,1.83,<0.001,***,1.16,1.01,1.33,0.039,*,0.91,0.76,1.09,0.303,
 ,,,,,,,,,,,,,,,
Power,,,,,,,,,,,,,,,
Time in power zone 1 (Active Recovery),1.24,1.11,1.39,<0.001,***,0.92,0.79,1.06,0.233,,0.91,0.78,1.05,0.179,
Time in power zone 2 (Endurance),1.18,0.98,1.41,0.08,,0.81,0.72,0.91,<0.001,***,0.89,0.8,0.98,0.024,*
Time in power zone 3 (Tempo),1.44,1.21,1.72,<0.001,***,0.81,0.71,0.92,<0.001,***,0.93,0.8,1.09,0.368,
Time in power zone 4 (Lactate Threshold),1.39,1.18,1.62,<0.001,***,0.89,0.75,1.06,0.208,,1.0,0.85,1.18,0.994,
Time in power zone 5 (VO2max),1.47,1.24,1.74,<0.001,***,0.98,0.81,1.19,0.843,,1.02,0.86,1.21,0.854,
Time in power zone 6 (Anaerobic Capacity),1.59,1.3,1.95,<0.001,***,1.07,0.88,1.3,0.487,,1.04,0.88,1.24,0.622,
 ,,,,,,,,,,,,,,,
Heart rate,,,,,,,,,,,,,,,
Time in HR zone 1 (Active Recovery),1.07,0.94,1.22,0.328,,0.87,0.76,1.01,0.06,,0.98,0.88,1.1,0.792,
Time in HR zone 2 (Endurance),1.26,1.06,1.49,0.008,**,0.76,0.67,0.87,<0.001,***,0.95,0.82,1.09,0.433,
Time in HR zone 3 (Tempo),1.37,1.18,1.58,<0.001,***,0.87,0.76,0.99,0.033,*,0.93,0.82,1.07,0.318,
Time in HR zone 4 (Lactate Threshold),1.41,1.17,1.71,<0.001,***,0.96,0.81,1.13,0.621,,1.07,0.91,1.25,0.427,
