,,,exercise,exercise,exercise,recovery,recovery,recovery,sleep,sleep,sleep
,,,Variance,Std.Dev.,Corr,Variance,Std.Dev.,Corr,Variance,Std.Dev.,Corr
,Groups,Name,,,,,,,,,
Competition,RIDER,Intercept,1.372544,1.17156,,1.39946,1.183,,0.68045,0.8249,
Competition,RIDER,Competition,0.009949,0.09975,-1.0,0.07083,0.2661,-0.68,0.07919,0.2814,-0.08
Duration,RIDER,Intercept,1.26507,1.1248,,1.315426,1.14692,,0.74578,0.8636,
Duration,RIDER,Duration,0.02226,0.1492,1.0,0.003774,0.06144,1.0,0.05397,0.2323,-0.82
Intensity factor,RIDER,Intercept,1.306598,1.14306,,1.311347,1.14514,,0.69087,0.8312,
Intensity factor,RIDER,Intensity factor,0.002278,0.04773,-1.0,0.008393,0.09161,0.29,0.02111,0.1453,-0.78
Variability index,RIDER,Intercept,1.31504,1.1468,,1.33633,1.156,,0.68227,0.826,
Variability index,RIDER,Variability index,0.06043,0.2458,-1.0,0.08129,0.2851,-0.71,0.03016,0.1737,0.1
Time in power zone 1 (Active Recovery),RIDER,Intercept,1.28112,1.1319,,1.3264,1.1517,,0.7515,0.8669,
Time in power zone 1 (Active Recovery),RIDER,Time in power zone 1 (Active Recovery),0.05413,0.2327,0.25,0.01436,0.1198,-0.11,0.05237,0.2288,-0.53
Time in power zone 2 (Endurance),RIDER,Intercept,1.3311,1.1537,,1.33937,1.1573,,0.71913,0.848,
Time in power zone 2 (Endurance),RIDER,Time in power zone 2 (Endurance),0.1042,0.3227,0.7,0.02097,0.1448,1.0,0.01413,0.1189,-1.0
Time in power zone 3 (Tempo),RIDER,Intercept,1.32577,1.151,,1.303842,1.14186,,0.65763,0.8109,
Time in power zone 3 (Tempo),RIDER,Time in power zone 3 (Tempo),0.08067,0.284,0.91,0.008564,0.09254,0.82,0.03639,0.1908,-1.0
Time in power zone 4 (Lactate Threshold),RIDER,Intercept,1.31613,1.1472,,1.34656,1.1604,,0.69762,0.8352,
Time in power zone 4 (Lactate Threshold),RIDER,Time in power zone 4 (Lactate Threshold),0.03145,0.1773,1.0,0.02007,0.1417,1.0,0.04131,0.2032,-0.64
Time in power zone 5 (VO2max),RIDER,Intercept,1.328811,1.15274,,1.351158,1.162,,0.70043,0.8369,
Time in power zone 5 (VO2max),RIDER,Time in power zone 5 (VO2max),0.004143,0.06437,1.0,0.002025,0.045,1.0,0.09169,0.3028,-0.35
Time in power zone 6 (Anaerobic Capacity),RIDER,Intercept,1.34543,1.1599,,1.33371,1.1549,,0.6767,0.8226,
Time in power zone 6 (Anaerobic Capacity),RIDER,Time in power zone 6 (Anaerobic Capacity),0.03038,0.1743,-1.0,0.05068,0.2251,-0.26,0.1021,0.3195,-0.09
Time in HR zone 1 (Active Recovery),RIDER,Intercept,1.20162,1.0962,,1.39644,1.1817,,0.71772,0.8472,
Time in HR zone 1 (Active Recovery),RIDER,Time in HR zone 1 (Active Recovery),0.01495,0.1223,1.0,0.02568,0.1603,0.18,0.04304,0.2075,-0.16
Time in HR zone 2 (Endurance),RIDER,Intercept,1.3147,1.1466,,1.34575,1.1601,,0.719535,0.84825,
Time in HR zone 2 (Endurance),RIDER,Time in HR zone 2 (Endurance),0.1128,0.3359,0.86,0.06361,0.2522,0.5,0.002406,0.04905,1.0
Time in HR zone 3 (Tempo),RIDER,Intercept,1.33058,1.154,,1.33295,1.1545,,0.689647,0.8304,
Time in HR zone 3 (Tempo),RIDER,Time in HR zone 3 (Tempo),0.02592,0.161,1.0,0.02632,0.1622,0.09,0.006289,0.0793,-0.74
Time in HR zone 4 (Lactate Threshold),RIDER,Intercept,1.34115,1.1581,,1.35181,1.163,,0.72332,0.8505,
Time in HR zone 4 (Lactate Threshold),RIDER,Time in HR zone 4 (Lactate Threshold),0.01213,0.1101,1.0,0.04042,0.201,0.28,0.03229,0.1797,-0.84
