,day,day,day,wake,wake,wake,exercise,exercise,exercise,recovery,recovery,recovery,sleep,sleep,sleep
,W,p,sign,W,p,sign,W,p,sign,W,p,sign,W,p,sign
glucose_mean,0.95,0.628,,0.96,0.734,,0.93,0.418,,0.95,0.617,,0.84,0.035,*
glucose_cv,0.91,0.237,,0.91,0.247,,0.91,0.268,,0.92,0.357,,0.97,0.913,
perc_in_hypo,0.81,0.013,*,0.89,0.126,,0.8,0.009,**,0.87,0.071,,0.82,0.016,*
perc_in_hypoL2,0.64,0.0,***,0.71,0.001,***,0.63,0.0,***,0.66,0.0,***,0.63,0.0,***
perc_in_hypoL1,0.89,0.149,,0.93,0.418,,0.85,0.048,*,0.88,0.112,,0.82,0.018,*
perc_in_target,0.89,0.141,,0.86,0.066,,0.9,0.169,,0.91,0.26,,0.92,0.281,
perc_in_hyper,0.93,0.446,,0.92,0.307,,0.9,0.171,,0.95,0.584,,0.88,0.119,
perc_in_hyperL1,0.95,0.608,,0.94,0.47,,0.92,0.36,,0.98,0.941,,0.95,0.639,
perc_in_hyperL2,0.86,0.062,,0.88,0.12,,0.94,0.577,,0.91,0.213,,0.77,0.004,**
