,day,day,day,wake,wake,wake,exercise,exercise,exercise,recovery,recovery,recovery,sleep,sleep,sleep
,t,p,sign,t,p,sign,t,p,sign,t,p,sign,t,p,sign
glucose_cv,0.42,0.342,,-0.03,0.511,,-1.01,0.832,,-0.07,0.526,,0.19,0.428,
perc_in_hypo,0.53,0.304,,-0.4,0.65,,-6.76,1.0,,-0.64,0.731,,1.33,0.106,
perc_in_hypoL2,0.76,0.233,,0.18,0.43,,-6.16,1.0,,-0.59,0.715,,1.21,0.128,
perc_in_hypoL1,0.25,0.405,,-0.78,0.773,,-6.68,1.0,,-0.61,0.721,,1.19,0.13,
perc_in_target,0.02,0.507,,-0.18,0.43,,-2.44,0.017,*,-0.72,0.244,,0.33,0.625,
perc_in_hyper,0.05,0.479,,0.59,0.283,,3.47,0.003,**,1.08,0.153,,-0.87,0.797,
perc_in_hyperL1,-0.86,0.796,,0.04,0.484,,2.79,0.01,**,0.14,0.446,,-2.62,0.987,
perc_in_hyperL2,1.14,0.141,,1.13,0.141,,2.99,0.007,**,1.62,0.068,,0.81,0.218,
