,day,day,day,wake,wake,wake,exercise,exercise,exercise,recovery,recovery,recovery,sleep,sleep,sleep
,t,p,sign,t,p,sign,t,p,sign,t,p,sign,t,p,sign
glucose_mean,-2.73,0.021,*,-3.51,0.006,**,-6.55,0.0,***,-2.34,0.041,*,-0.44,0.672,
glucose_cv,1.64,0.133,,2.03,0.069,,3.57,0.005,**,0.44,0.667,,1.06,0.314,
perc_in_hypo,2.0,0.073,,2.09,0.063,,2.85,0.017,*,0.87,0.407,,0.83,0.426,
perc_in_hypoL2,2.22,0.05,,1.66,0.128,,1.51,0.163,,0.78,0.455,,0.4,0.696,
perc_in_hypoL1,1.87,0.091,,2.02,0.071,,3.64,0.005,**,0.87,0.403,,1.01,0.335,
perc_in_target,1.21,0.256,,1.91,0.085,,3.3,0.008,**,1.24,0.242,,-0.8,0.441,
perc_in_hyper,-3.08,0.012,*,-3.84,0.003,**,-5.49,0.0,***,-1.66,0.127,,0.04,0.966,
perc_in_hyperL1,-3.05,0.012,*,-4.04,0.002,**,-5.53,0.0,***,-1.09,0.3,,0.66,0.521,
perc_in_hyperL2,-1.44,0.182,,-1.47,0.173,,-3.26,0.009,**,-1.4,0.193,,-0.51,0.619,
