,day,day,day,wake,wake,wake,exercise,exercise,exercise,recovery,recovery,recovery,sleep,sleep,sleep
,t,p,sign,t,p,sign,t,p,sign,t,p,sign,t,p,sign
perc_in_hypo,21.0,0.176,,31.0,0.569,,35.0,0.791,,35.0,0.791,,13.0,0.042,*
perc_in_hypoL2,27.0,0.38,,34.0,0.733,,23.0,0.233,,34.0,0.733,,14.0,0.052,
perc_in_hypoL1,20.0,0.151,,28.0,0.424,,30.0,0.519,,33.0,0.677,,14.0,0.052,
perc_in_target,38.0,0.97,,39.0,1.0,,37.0,0.91,,30.0,0.519,,38.0,0.97,
perc_in_hyper,35.0,0.791,,39.0,1.0,,34.0,0.733,,28.0,0.424,,22.0,0.204,
perc_in_hyperL1,24.0,0.266,,30.0,0.519,,27.0,0.38,,34.0,0.733,,12.0,0.034,*
perc_in_hyperL2,31.0,0.569,,26.0,0.339,,22.0,0.204,,23.0,0.233,,38.0,0.97,
glucose_cv,26.0,0.339,,30.0,0.519,,27.0,0.38,,39.0,1.0,,19.0,0.129,
